T1, 4, 67
T2, 8, 5
T3, 3, 15
T4, 2, 2
T5, 5, 6
T6, 9, 50
T7, 6, 21
T8, 10, 22
T9, 1, 46
T10, 8, 12
T11, 6, 10
T12, 9, 45
T13, 5, 60
T14, 7, 21
T15, 1, 20
T16, 7, 95
T17, 10, 22
T18, 3, 22
T19, 8, 17
T20, 9, 10
T21, 7, 18
T22, 1, 4
T23, 4, 66
T24, 10, 100
T25, 2, 5
T26, 8, 45
T27, 4, 33
T28, 7, 4
T29, 9, 2
T30, 1, 8
T31, 3, 59
T32, 6, 45
T33, 2, 44
T34, 4, 67
T35, 4, 30
T36, 2, 4
T37, 10, 31
T38, 3, 12
T39, 9, 77
T40, 7, 14
T41, 4, 21
T42, 10, 99
T43, 9, 7
T44, 2, 88
T45, 6, 7
T46, 1, 62
T47, 2, 50
T48, 8, 57
T49, 4, 29
T50, 7, 43
