T1, 4, 97
T2, 8, 83
T3, 3, 95
T4, 2, 82
T5, 5, 96
T6, 9, 85
T7, 6, 87
T8, 10, 92
T9, 1, 88
T10, 8, 80
T11, 6, 100
T12, 9, 96
T13, 5, 89
T14, 7, 94
T15, 1, 84
T16, 7, 98
T17, 10, 87
T18, 3, 91
T19, 8, 98
T20, 9, 90
T21, 7, 18
T22, 1, 4
T23, 4, 26
T24, 10, 10
T25, 2, 5
T26, 8, 42
T27, 4, 33
T28, 7, 4
T29, 9, 2
T30, 1, 8
T31, 3, 22
T32, 6, 35
T33, 2, 40
T34, 4, 17
T35, 4, 30
T36, 2, 4
T37, 10, 31
T38, 3, 12
T39, 9, 36
T40, 7, 14
T41, 4, 21
T42, 10, 9
T43, 9, 7
T44, 2, 8
T45, 6, 37
T46, 1, 2
T47, 2, 5
T48, 8, 30
T49, 4, 20
T50, 7, 39
